id,title,provider,department,description,level,duration,students,rating,url,tags
1724,How do I Create a Stylized Graphics from Images in Photoshop,Udemy,Graphic Design,Course: How do I Create a Stylized Graphics from Images in Photoshop. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,17,1,https://www.udemy.com/how-do-i-create-a-stylized-graphics-from-images-in-photoshop/,[]
1725,Advance Design of Logos and Brand Identity,Udemy,Graphic Design,Course: Advance Design of Logos and Brand Identity. Category: Graphic Design. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,34,4,https://www.udemy.com/advance-design-of-logos-and-brand-identity/,[]
1726,Como utilizar o Corel Draw por completo!,Udemy,Graphic Design,Course: Como utilizar o Corel Draw por completo!. Category: Graphic Design. Level: All Levels. Duration: 7 hours.,All Levels,7 hours,293,5,https://www.udemy.com/como-utilizar-o-corel-draw-por-completo/,[]
1727,Photoshop 中級者 上級者がプロになるために最後に学ぶ 超絶技巧 テクニック,Udemy,Graphic Design,Course: Photoshop 中級者 上級者がプロになるために最後に学ぶ 超絶技巧 テクニック. Category: Graphic Design. Level: Intermediate Level. Duration: 4.5 hours.,Intermediate Level,4.5 hours,113,5,https://www.udemy.com/photoshop-s/,[]
1728,Corel Draw X7: Mão na Massa,Udemy,Graphic Design,Course: Corel Draw X7: Mão na Massa. Category: Graphic Design. Level: Beginner Level. Duration: 4 hours.,Beginner Level,4 hours,72,5,https://www.udemy.com/corel-draw-x7-mao-na-massa/,[]
1729,Dibujo digital básico: cómo ilustrar en Photoshop,Udemy,Graphic Design,Course: Dibujo digital básico: cómo ilustrar en Photoshop. Category: Graphic Design. Level: Beginner Level. Duration: 5 hours.,Beginner Level,5 hours,155,5,https://www.udemy.com/dibujo-digital-basico-como-ilustrar-en-photoshop/,[]
1730,Adobe Illustrator CS6 باللغة العربية,Udemy,Graphic Design,Course: Adobe Illustrator CS6 باللغة العربية. Category: Graphic Design. Level: All Levels. Duration: 8 hours.,All Levels,8 hours,48,5,https://www.udemy.com/adobe-illustrator-cs6-kottab/,[]
1731,Creare un logo con Adobe Illustrator,Udemy,Graphic Design,Course: Creare un logo con Adobe Illustrator. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,1447,5,https://www.udemy.com/crea-il-tuo-logo-con-adobe-illustrator/,[]
1732,Mestres do Photoshop,Udemy,Graphic Design,Course: Mestres do Photoshop. Category: Graphic Design. Level: All Levels. Duration: 5.5 hours.,All Levels,5.5 hours,86,5,https://www.udemy.com/mestres-do-photoshop/,[]
1733,illustrator CC 2015.3 - Curso básico de ferramentas,Udemy,Graphic Design,Course: illustrator CC 2015.3 - Curso básico de ferramentas. Category: Graphic Design. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,13,5,https://www.udemy.com/illustratorcc20153/,[]
1734,Plantillas Powerpoint para Publicar en Mercadolibre y Ebay,Udemy,Graphic Design,Course: Plantillas Powerpoint para Publicar en Mercadolibre y Ebay. Category: Graphic Design. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,15,5,https://www.udemy.com/publicacion-rapida-y-profesional-en-mercadolibre/,[]
1735,Crie seu Cartão de Visita no CorelDRAW X8,Udemy,Graphic Design,Course: Crie seu Cartão de Visita no CorelDRAW X8. Category: Graphic Design. Level: Beginner Level. Duration: 4 hours.,Beginner Level,4 hours,28,3,https://www.udemy.com/crie-seu-cartao-de-visita-no-coreldraw-x8/,[]
1736,Curso de Maya 3D,Udemy,Graphic Design,Course: Curso de Maya 3D. Category: Graphic Design. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,62,5,https://www.udemy.com/curso-de-maya-3d/,[]
1737,Photoshop: Organización de eventos y decoración de fiestas,Udemy,Graphic Design,Course: Photoshop: Organización de eventos y decoración de fiestas. Category: Graphic Design. Level: Beginner Level. Duration: 8.5 hours.,Beginner Level,8.5 hours,125,5,https://www.udemy.com/curso-de-photoshop-como-hacer-todo-para-tu-fiesta-tematica/,[]
1738,Podcast Cover Art Design Like the Best,Udemy,Graphic Design,Course: Podcast Cover Art Design Like the Best. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,33,2,https://www.udemy.com/podcast-graphic-design/,[]
1739,Learn Drawing and Painting a Landscape with Oil Colours,Udemy,Graphic Design,Course: Learn Drawing and Painting a Landscape with Oil Colours. Category: Graphic Design. Level: Intermediate Level. Duration: 2 hours.,Intermediate Level,2 hours,51,2,https://www.udemy.com/learn-drawing-and-painting-a-landscape-with-oil-colours/,[]
1740,Enhance your chroma key with an animated Slides background,Udemy,Graphic Design,Course: Enhance your chroma key with an animated Slides background. Category: Graphic Design. Level: Intermediate Level. Duration: 1 hour.,Intermediate Level,1 hour,361,2,https://www.udemy.com/enhance-your-chroma-key-with-an-animated-slides-background/,[]
1741,The Complete Motion Graphic Course,Udemy,Graphic Design,Course: The Complete Motion Graphic Course. Category: Graphic Design. Level: All Levels. Duration: 9.5 hours.,All Levels,9.5 hours,50,5,https://www.udemy.com/complete-motion-graphic-course/,[]
1742,Making Corporate Flyers in Photoshop,Udemy,Graphic Design,Course: Making Corporate Flyers in Photoshop. Category: Graphic Design. Level: All Levels. Duration: 31 mins.,All Levels,31 mins,4,3,https://www.udemy.com/making-corporate-flyers-in-photoshop/,[]
1743,Rock-Solid Brands,Udemy,Graphic Design,Course: Rock-Solid Brands. Category: Graphic Design. Level: Beginner Level. Duration: 31 mins.,Beginner Level,31 mins,134,4,https://www.udemy.com/rock-solid-brands/,[]
1744,Typographic Poster Design - From Sketch to Vector,Udemy,Graphic Design,Course: Typographic Poster Design - From Sketch to Vector. Category: Graphic Design. Level: Intermediate Level. Duration: 1.5 hours.,Intermediate Level,1.5 hours,36,5,https://www.udemy.com/typographic-poster-design-from-sketch-to-vector/,[]
1745,"Make Money With Photoshop: Logos, Business Cards Brochures",Udemy,Graphic Design,"Course: Make Money With Photoshop: Logos, Business Cards Brochures. Category: Graphic Design. Level: All Levels. Duration: 5 hours.",All Levels,5 hours,32,4,https://www.udemy.com/make-money-with-photoshop-logos-business-cards-brochures/,[]
1746,Photoshop the Art of Clipart,Udemy,Graphic Design,Course: Photoshop the Art of Clipart. Category: Graphic Design. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,30,3,https://www.udemy.com/photoshop-the-art-of-clipart/,[]
1747,Adobe Illustrator Creative Cloud: Mastering the Upgrades,Udemy,Graphic Design,Course: Adobe Illustrator Creative Cloud: Mastering the Upgrades. Category: Graphic Design. Level: Intermediate Level. Duration: 2 hours.,Intermediate Level,2 hours,22,3,https://www.udemy.com/learn-illustrator-cc-updates/,[]
1748,Illustrator 101: Learn Quickly and Easily to create Artwork,Udemy,Graphic Design,Course: Illustrator 101: Learn Quickly and Easily to create Artwork. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,452,3,https://www.udemy.com/make-money-freelancing-after-this-illustrator-course/,[]
1749,Design Your Own Fonts. Plus A Bunch Of Typography Secrets.,Udemy,Graphic Design,Course: Design Your Own Fonts. Plus A Bunch Of Typography Secrets.. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,67,5,https://www.udemy.com/design-your-own-fonts/,[]
1750,Easy Steps To Become A Photoshop Expert,Udemy,Graphic Design,Course: Easy Steps To Become A Photoshop Expert. Category: Graphic Design. Level: All Levels. Duration: 8 hours.,All Levels,8 hours,1081,5,https://www.udemy.com/easy-steps-to-become-a-photoshop-expert/,[]
1751,Intro to Adobe Illustrator,Udemy,Graphic Design,Course: Intro to Adobe Illustrator. Category: Graphic Design. Level: Beginner Level. Duration: 6 hours.,Beginner Level,6 hours,189,5,https://www.udemy.com/intro-to-adobe-illustrator/,[]
1752,Beginners Guide: Photoshop Poster/Artwork,Udemy,Graphic Design,Course: Beginners Guide: Photoshop Poster/Artwork. Category: Graphic Design. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,775,5,https://www.udemy.com/do-it-yourself-learn-photoshop-postersflyers-creation/,[]
1753,Basic Graphic Design for PowerPoint,Udemy,Graphic Design,Course: Basic Graphic Design for PowerPoint. Category: Graphic Design. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,88,5,https://www.udemy.com/basic-graphic-design-for-powerpoint/,[]
1754,Master Graphic Design Using Photoshop with Rachael,Udemy,Graphic Design,Course: Master Graphic Design Using Photoshop with Rachael. Category: Graphic Design. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,598,5,https://www.udemy.com/become-a-master-of-photoshop-in-3-hours-guaranteed/,[]
1755,Adobe Illustrator CC - Print Design for Beginners,Udemy,Graphic Design,Course: Adobe Illustrator CC - Print Design for Beginners. Category: Graphic Design. Level: Beginner Level. Duration: 6 hours.,Beginner Level,6 hours,145,5,https://www.udemy.com/adobe-illustrator-cc-print-design/,[]
1756,Adobe Illustrator Master in 3D,Udemy,Graphic Design,Course: Adobe Illustrator Master in 3D. Category: Graphic Design. Level: All Levels. Duration: 32 mins.,All Levels,32 mins,445,4,https://www.udemy.com/adobe-illustrator-master-in-3d/,[]
1757,From Drawing to Illustration,Udemy,Graphic Design,Course: From Drawing to Illustration. Category: Graphic Design. Level: Beginner Level. Duration: 6 hours.,Beginner Level,6 hours,237,5,https://www.udemy.com/from-drawing-to-illustration/,[]
1758,Adobe Suite : Unleash your creativity benefit from it !,Udemy,Graphic Design,Course: Adobe Suite : Unleash your creativity benefit from it !. Category: Graphic Design. Level: All Levels. Duration: 9.5 hours.,All Levels,9.5 hours,1005,4,https://www.udemy.com/learn-to-animate-design-earn-up-to-100-per-hour/,[]
1759,Become a Logo Designer: Guide to Complimentary Logo Software,Udemy,Graphic Design,Course: Become a Logo Designer: Guide to Complimentary Logo Software. Category: Graphic Design. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,485,5,https://www.udemy.com/become-a-logo-designer-guide-to-complimentary-logo-software/,[]
1760,DIY Beautiful Social Graphics That Don't Require Photoshop,Udemy,Graphic Design,Course: DIY Beautiful Social Graphics That Don't Require Photoshop. Category: Graphic Design. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,238,5,https://www.udemy.com/diy-beautiful-social-graphics-that-dont-require-photoshop/,[]
1761,Design while you learn InDesign CC,Udemy,Graphic Design,Course: Design while you learn InDesign CC. Category: Graphic Design. Level: Beginner Level. Duration: 2.5 hours.,Beginner Level,2.5 hours,1116,3,https://www.udemy.com/design-while-you-learn-indesign-cc/,[]
1762,R Graph Essentials,Udemy,Graphic Design,Course: R Graph Essentials. Category: Graphic Design. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,105,4,https://www.udemy.com/r-graph-essentials/,[]
1763,Car Sketching with Simple Analog Tools,Udemy,Graphic Design,Course: Car Sketching with Simple Analog Tools. Category: Graphic Design. Level: All Levels. Duration: 37 mins.,All Levels,37 mins,23,5,https://www.udemy.com/car-sketching-with-markers/,[]
1764,Drawing Anime Manga Style,Udemy,Graphic Design,Course: Drawing Anime Manga Style. Category: Graphic Design. Level: All Levels. Duration: 8 hours.,All Levels,8 hours,82,5,https://www.udemy.com/drawing-anime-and-manga-style/,[]
1765,Inkscape 101 for Beginners - Design Vector Graphics,Udemy,Graphic Design,Course: Inkscape 101 for Beginners - Design Vector Graphics. Category: Graphic Design. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,13,5,https://www.udemy.com/inkscape-101-for-beginners-design-vector-graphics/,[]
1766,"How to Fix Common Branding Mistakes, for Graphic Designers",Udemy,Graphic Design,"Course: How to Fix Common Branding Mistakes, for Graphic Designers. Category: Graphic Design. Level: Intermediate Level. Duration: 1.5 hours.",Intermediate Level,1.5 hours,19,2,https://www.udemy.com/how-to-fix-common-branding-mistakes-for-graphic-designers/,[]
1767,AutoCAD Course - Learn Online AutoCAD in Urdu Hindi,Udemy,Graphic Design,Course: AutoCAD Course - Learn Online AutoCAD in Urdu Hindi. Category: Graphic Design. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,105,2,https://www.udemy.com/autocad-course-in-urdu-hindi/,[]
1768,Mind-Blowing Photoshop: Master Skills Season 1,Udemy,Graphic Design,Course: Mind-Blowing Photoshop: Master Skills Season 1. Category: Graphic Design. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,94,3,https://www.udemy.com/mind-blowing-photoshop-master-skills-season-1/,[]
1769,Architectural Drawing For Creatives,Udemy,Graphic Design,Course: Architectural Drawing For Creatives. Category: Graphic Design. Level: All Levels. Duration: 24 hours.,All Levels,24 hours,5,0,https://www.udemy.com/architectural-drawing-for-website-and-logo-designers/,[]
1770,Adobe Photoshop (Complete Beginner),Udemy,Graphic Design,Course: Adobe Photoshop (Complete Beginner). Category: Graphic Design. Level: Beginner Level. Duration: 2 hours.,Beginner Level,2 hours,98,3,https://www.udemy.com/learn-adobe-photoshop-complete-beginner-to-a-fricken-master/,[]
1771,Character Design,Udemy,Graphic Design,Course: Character Design. Category: Graphic Design. Level: Intermediate Level. Duration: 2 hours.,Intermediate Level,2 hours,5,0,https://www.udemy.com/character-design/,[]
1772,Icon Design Masterclass: Learn Icon Design Principles,Udemy,Graphic Design,Course: Icon Design Masterclass: Learn Icon Design Principles. Category: Graphic Design. Level: Beginner Level. Duration: 2.5 hours.,Beginner Level,2.5 hours,6,0,https://www.udemy.com/icon-design-masterclass-learn-icon-design-principles/,[]
1773,create stunning Photoshop compositions in minutes,Udemy,Graphic Design,Course: create stunning Photoshop compositions in minutes. Category: Graphic Design. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,5,0,https://www.udemy.com/create-impressive-photoshop-compositions-in-minutes/,[]
1774,Marvelous Logo Design,Udemy,Graphic Design,Course: Marvelous Logo Design. Category: Graphic Design. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,91,5,https://www.udemy.com/marvelous-logo-design/,[]
1775,Canva Complete Course For Graphics Design 20 Projects,Udemy,Graphic Design,Course: Canva Complete Course For Graphics Design 20 Projects. Category: Graphic Design. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,3,3,https://www.udemy.com/canva-course-graphics-design/,[]
1776,The Complete Video Production Guide - Learn Top Video Tools,Udemy,Graphic Design,Course: The Complete Video Production Guide - Learn Top Video Tools. Category: Graphic Design. Level: All Levels. Duration: 7.5 hours.,All Levels,7.5 hours,121,5,https://www.udemy.com/video-production-guide-learn-top-video-tools-to-create-awesome-videos/,[]
1777,Drawing With Confidence,Udemy,Graphic Design,Course: Drawing With Confidence. Category: Graphic Design. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,105,5,https://www.udemy.com/drawing-with-confidence/,[]
1778,Add realistic car paint to your pencil drawing in Photoshop!,Udemy,Graphic Design,Course: Add realistic car paint to your pencil drawing in Photoshop!. Category: Graphic Design. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,17,3,https://www.udemy.com/colorize-your-pencil-drawing-in-photoshop/,[]
1779,T-Shirt Sales - Merch By Amazon Profit Formula With Canva,Udemy,Graphic Design,Course: T-Shirt Sales - Merch By Amazon Profit Formula With Canva. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,380,1,https://www.udemy.com/merch-by-amazon-quick-start-t-shirt-sales-using-canva-design/,[]
1780,Learn print production from start to finish,Udemy,Graphic Design,Course: Learn print production from start to finish. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,494,5,https://www.udemy.com/print-production/,[]
1781,Step by Step Gif animation in Photoshop,Udemy,Graphic Design,Course: Step by Step Gif animation in Photoshop. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,518,2,https://www.udemy.com/step-by-step-gif-animation-in-photoshop/,[]
1782,Adobe - Create a professional logo step-by-step (Farming),Udemy,Graphic Design,Course: Adobe - Create a professional logo step-by-step (Farming). Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,214,0,https://www.udemy.com/adobe-create-a-professional-logo-step-by-step-farming/,[]
1783,Adobe Illustrator CC Advanced,Udemy,Graphic Design,Course: Adobe Illustrator CC Advanced. Category: Graphic Design. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,11,1,https://www.udemy.com/adobe-illustrator-advanced/,[]
1784,Mastering Realistic Real Life Drawing with Pencil,Udemy,Graphic Design,Course: Mastering Realistic Real Life Drawing with Pencil. Category: Graphic Design. Level: Beginner Level. Duration: 39 mins.,Beginner Level,39 mins,33,5,https://www.udemy.com/mastering-realistic-real-life-drawing-with-pencil/,[]
1785,Silhouettes that Sells,Udemy,Graphic Design,Course: Silhouettes that Sells. Category: Graphic Design. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,9,1,https://www.udemy.com/silhouettes-that-sells/,[]
1786,FullPage: The Complete Guide to Flat Websites,Udemy,Graphic Design,Course: FullPage: The Complete Guide to Flat Websites. Category: Graphic Design. Level: All Levels. Duration: 38 mins.,All Levels,38 mins,817,5,https://www.udemy.com/easy-flat-design/,[]
1787,How to design professional PowerPoint business presentation,Udemy,Graphic Design,Course: How to design professional PowerPoint business presentation. Category: Graphic Design. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,286,5,https://www.udemy.com/how-to-design-professional-animated-powerpoint-presentation/,[]
1788,Pic Monkey for Beginners - Graphic Design and Photo Editing,Udemy,Graphic Design,Course: Pic Monkey for Beginners - Graphic Design and Photo Editing. Category: Graphic Design. Level: Beginner Level. Duration: 3 hours.,Beginner Level,3 hours,774,3,https://www.udemy.com/pic-monkey-101/,[]
1789,Corel Painter 2016,Udemy,Graphic Design,Course: Corel Painter 2016. Category: Graphic Design. Level: All Levels. Duration: 8 hours.,All Levels,8 hours,41,5,https://www.udemy.com/corel-painter-2016/,[]
1790,eBook Cover Design,Udemy,Graphic Design,Course: eBook Cover Design. Category: Graphic Design. Level: Intermediate Level. Duration: 1.5 hours.,Intermediate Level,1.5 hours,30,3,https://www.udemy.com/ebooks-cover-design/,[]
1791,"Photoshop tips and tricks, how to change clothes",Udemy,Graphic Design,"Course: Photoshop tips and tricks, how to change clothes. Category: Graphic Design. Level: All Levels. Duration: 2 hours.",All Levels,2 hours,837,4,https://www.udemy.com/changing-clothes-with-photoshop/,[]
1792,How to make Better Compositions: Take your art to new height,Udemy,Graphic Design,Course: How to make Better Compositions: Take your art to new height. Category: Graphic Design. Level: All Levels. Duration: 32 mins.,All Levels,32 mins,11,3,https://www.udemy.com/better-compositions/,[]
1793,Adobe Photoshop CC The Essential Guide,Udemy,Graphic Design,Course: Adobe Photoshop CC The Essential Guide. Category: Graphic Design. Level: All Levels. Duration: 4.5 hours.,All Levels,4.5 hours,254,5,https://www.udemy.com/adobe-photoshop-cc-the-essential-guide/,[]
1794,Learn to Composite a 2D Action Shot in Photoshop,Udemy,Graphic Design,Course: Learn to Composite a 2D Action Shot in Photoshop. Category: Graphic Design. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,40,2,https://www.udemy.com/3dmotive-learn-to-composite-a-2d-action-shot-in-photoshop/,[]
1795,Infographic Design: How To Create Your Own Infographic,Udemy,Graphic Design,Course: Infographic Design: How To Create Your Own Infographic. Category: Graphic Design. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,84,5,https://www.udemy.com/infographic-design-how-to-create-your-own-infographic/,[]
1796,Autodesk Inventor 2016 : Complete Guide,Udemy,Graphic Design,Course: Autodesk Inventor 2016 : Complete Guide. Category: Graphic Design. Level: Beginner Level. Duration: 7.5 hours.,Beginner Level,7.5 hours,23,4,https://www.udemy.com/learn-autodesk-inventor-2016/,[]
1797,Amazing Graphic Design for Beginners,Udemy,Graphic Design,Course: Amazing Graphic Design for Beginners. Category: Graphic Design. Level: Beginner Level. Duration: 42 mins.,Beginner Level,42 mins,32,5,https://www.udemy.com/amazing-graphic-design-for-beginners/,[]
1798,"7 Ways A Beginner Guitarist Can Sound Better, Instantly!",Udemy,Musical Instruments,"Course: 7 Ways A Beginner Guitarist Can Sound Better, Instantly!. Category: Musical Instruments. Level: Beginner Level. Duration: 36 mins.",Beginner Level,36 mins,4529,5,https://www.udemy.com/nationalguitaracademy/,[]
1799,Instant Harmonica - Christmas. Play Jingle Bells Part 1 now,Udemy,Musical Instruments,Course: Instant Harmonica - Christmas. Play Jingle Bells Part 1 now. Category: Musical Instruments. Level: All Levels. Duration: 42 mins.,All Levels,42 mins,823,5,https://www.udemy.com/instant-harmonica-christmas-play-jingle-bells-part-1-now/,[]
1800,Playing Piano: Popular Pieces Vol. II,Udemy,Musical Instruments,Course: Playing Piano: Popular Pieces Vol. II. Category: Musical Instruments. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,1472,4,https://www.udemy.com/playing-piano-popular-pieces-volii/,[]
1801,Ninja Chord Changes - Master your guitar chord changes,Udemy,Musical Instruments,Course: Ninja Chord Changes - Master your guitar chord changes. Category: Musical Instruments. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,1327,5,https://www.udemy.com/ninja-chord-changes/,[]
1802,Your First 10 Guitar Lessons - Learn how to play guitar,Udemy,Musical Instruments,Course: Your First 10 Guitar Lessons - Learn how to play guitar. Category: Musical Instruments. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,924,4,https://www.udemy.com/your-first-10-guitar-lessons-learn-how-to-play-guitar/,[]
1803,Pentatonic Scale Crash Course for Bass Guitar,Udemy,Musical Instruments,Course: Pentatonic Scale Crash Course for Bass Guitar. Category: Musical Instruments. Level: Intermediate Level. Duration: 1 hour.,Intermediate Level,1 hour,898,5,https://www.udemy.com/pentatonic-scale-crash-course-for-bass-guitar/,[]
1804,Modal Theory for Guitar (Guitar Lessons from Lutz Academy),Udemy,Musical Instruments,Course: Modal Theory for Guitar (Guitar Lessons from Lutz Academy). Category: Musical Instruments. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,1039,5,https://www.udemy.com/modal-theory-for-guitar/,[]
1805,Learn Fun Dreamy Piano Techniques 1 - Play White Christmas,Udemy,Musical Instruments,Course: Learn Fun Dreamy Piano Techniques 1 - Play White Christmas. Category: Musical Instruments. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,1474,5,https://www.udemy.com/learn-piano-christmas-song-play-dreamy-piano-music-white-christmas/,[]
1806,Learn Jazz Piano Today,Udemy,Musical Instruments,Course: Learn Jazz Piano Today. Category: Musical Instruments. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,1167,5,https://www.udemy.com/learn-jazz-piano-with-willie-today/,[]
1807,Learn To Play The Drums Without A Drum Kit,Udemy,Musical Instruments,Course: Learn To Play The Drums Without A Drum Kit. Category: Musical Instruments. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,1589,5,https://www.udemy.com/learn-to-play-the-drums-without-a-drum-kit/,[]
1808,Learn Travis Picking From Scratch,Udemy,Musical Instruments,Course: Learn Travis Picking From Scratch. Category: Musical Instruments. Level: Intermediate Level. Duration: 1.5 hours.,Intermediate Level,1.5 hours,219,5,https://www.udemy.com/learn-travis-picking-from-scratch/,[]
1809,Instant Harmonica - how to get single notes in 5 easy steps,Udemy,Musical Instruments,Course: Instant Harmonica - how to get single notes in 5 easy steps. Category: Musical Instruments. Level: Beginner Level. Duration: 38 mins.,Beginner Level,38 mins,835,5,https://www.udemy.com/instant-harmonica-how-to-get-single-notes-in-5-easy-steps/,[]
1810,Piano Runs Fills 3: Jazzy Chromatic Chord Song Endings,Udemy,Musical Instruments,Course: Piano Runs Fills 3: Jazzy Chromatic Chord Song Endings. Category: Musical Instruments. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,747,5,https://www.udemy.com/piano-runs-fills-3-jazz-chromatic-chords-songs-ending/,[]
1811,Teaching Music : Start teaching an instrument successfully.,Udemy,Musical Instruments,Course: Teaching Music : Start teaching an instrument successfully.. Category: Musical Instruments. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,1337,5,https://www.udemy.com/teaching-piano-a-quick-guide-for-begginers/,[]
1812,Strumming from scratch - Rhythm guitar lesson for Beginners,Udemy,Musical Instruments,Course: Strumming from scratch - Rhythm guitar lesson for Beginners. Category: Musical Instruments. Level: Beginner Level. Duration: 2 hours.,Beginner Level,2 hours,530,5,https://www.udemy.com/strumming-from-scratch-rhythm-guitar-lesson-for-beginners/,[]
1813,Blues Guitar Lessons - From Texas To Carolina,Udemy,Musical Instruments,Course: Blues Guitar Lessons - From Texas To Carolina. Category: Musical Instruments. Level: Intermediate Level. Duration: 2.5 hours.,Intermediate Level,2.5 hours,1297,5,https://www.udemy.com/jim-bruce-blues-guitar-lessons-texas-carolina/,[]
1814,Instant Harmonica - play the groovy Beatles Yesterday today!,Udemy,Musical Instruments,Course: Instant Harmonica - play the groovy Beatles Yesterday today!. Category: Musical Instruments. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,295,5,https://www.udemy.com/instant-harmonica-play-the-groovy-beatles-yesterday-today/,[]
1815,Beginner Guitar Quick-Start Course,Udemy,Musical Instruments,Course: Beginner Guitar Quick-Start Course. Category: Musical Instruments. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,2084,5,https://www.udemy.com/learn-guitar-in-30-minutes/,[]
1816,Mike G's Beginner Drum Course: Part 1,Udemy,Musical Instruments,Course: Mike G's Beginner Drum Course: Part 1. Category: Musical Instruments. Level: Beginner Level. Duration: 3 hours.,Beginner Level,3 hours,515,5,https://www.udemy.com/drumlessons/,[]
1817,Guitar for Beginners - Learn the Basics,Udemy,Musical Instruments,Course: Guitar for Beginners - Learn the Basics. Category: Musical Instruments. Level: Beginner Level. Duration: 31 mins.,Beginner Level,31 mins,1026,5,https://www.udemy.com/learnguitar/,[]
1818,How To Play The Djembe: For Beginners,Udemy,Musical Instruments,Course: How To Play The Djembe: For Beginners. Category: Musical Instruments. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,414,5,https://www.udemy.com/how-to-play-the-djembe-for-beginners/,[]
1819,Blues Guitar Lessons - Volume 1 - Blues Shuffle Essentials,Udemy,Musical Instruments,Course: Blues Guitar Lessons - Volume 1 - Blues Shuffle Essentials. Category: Musical Instruments. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,198,5,https://www.udemy.com/blues-guitar-magic-volume-1/,[]
1820,Beginner Guitar - 38 Easy Lessons You Needs to Get Started,Udemy,Musical Instruments,Course: Beginner Guitar - 38 Easy Lessons You Needs to Get Started. Category: Musical Instruments. Level: Beginner Level. Duration: 3 hours.,Beginner Level,3 hours,250,5,https://www.udemy.com/beginner-guitar-8-lessons-everyone-needs/,[]
1821,Bass Guitar Lessons For Beginners,Udemy,Musical Instruments,Course: Bass Guitar Lessons For Beginners. Category: Musical Instruments. Level: Beginner Level. Duration: 2.5 hours.,Beginner Level,2.5 hours,180,5,https://www.udemy.com/the-music-coach-online-bass-guitar-lesson-program/,[]
1822,Pure Pentatonic Power: Rock and Blues Guitar Soloing,Udemy,Musical Instruments,Course: Pure Pentatonic Power: Rock and Blues Guitar Soloing. Category: Musical Instruments. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,128,5,https://www.udemy.com/pure-pentatonic-power-a-masterclass-in-rock-and-blues/,[]
1823,Rock Drumset Grooves: Level 1,Udemy,Musical Instruments,Course: Rock Drumset Grooves: Level 1. Category: Musical Instruments. Level: Beginner Level. Duration: 2 hours.,Beginner Level,2 hours,709,5,https://www.udemy.com/rock-drumset-grooves-101/,[]
1824,Guitar: The Next Level,Udemy,Musical Instruments,Course: Guitar: The Next Level. Category: Musical Instruments. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,117,5,https://www.udemy.com/guitar-the-next-level/,[]
